Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S3001,Maria,Jones,student2001@university.com,Female,24,CS,74.31,96.12,76.27,86.32,57.99,8.51,66.4,93.95,A,20.4,No,Yes,High School,Medium,8,7.3
S3002,Emma,Brown,student2002@university.com,Male,23,Engineering,86.7,65.95,75.31,67.48,97.21,0.65,84.85,75.26,A,14.4,No,Yes,PhD,Low,1,4.7
S3003,Liam,Williams,student2003@university.com,Male,19,Business,88.7,42.52,77.84,87.44,70.54,4.07,63.54,97.05,A,12.7,No,Yes,Bachelor's,High,1,6.4
S3004,Liam,Williams,student2004@university.com,Female,18,CS,89.23,48.33,49.53,71.92,93.02,7.48,64.3,57.39,B,24.7,No,Yes,Bachelor's,Low,2,5.4
S3005,John,Brown,student2005@university.com,Male,23,CS,61.41,44.74,57.14,58.59,61.02,0.04,78.52,64.01,D,19.9,No,Yes,Master's,Low,5,8.6
S3006,Liam,Williams,student2006@university.com,Female,20,CS,59.63,75.33,52.58,54.53,51.45,8.78,59.67,82.83,D,5.9,Yes,No,,High,4,8.1
S3007,Omar,Smith,student2007@university.com,Male,22,Engineering,79.5,51.2,72.43,85.53,78.67,7.06,68.24,64.16,F,5.5,No,Yes,,Medium,4,6.4
S3008,Ahmed,Williams,student2008@university.com,Male,21,Business,87.05,69.91,67.66,69.29,66.23,0.73,52.9,67.36,A,26,No,Yes,PhD,Medium,1,6.3
S3009,Ali,Williams,student2009@university.com,Female,24,CS,65.96,62.2,59.82,95.64,99.22,8.95,97.63,95.05,C,7.2,Yes,Yes,,High,1,8.2
S3010,Omar,Brown,student2010@university.com,Female,20,Engineering,,88.23,87.16,77.01,55.22,4.87,65.87,76.93,A,18,Yes,Yes,PhD,High,10,7.5
S3011,Ahmed,Brown,student2011@university.com,Female,22,Mathematics,85.84,59.23,45.64,67.42,52.37,6.52,92.5,66.73,B,20.2,No,Yes,Master's,High,2,7.4
S3012,Emma,Williams,student2012@university.com,Female,24,CS,64.98,67.5,98.49,67.45,52.25,8.82,76.5,88.84,F,27.9,No,Yes,High School,High,2,6.7
S3013,Liam,Johnson,student2013@university.com,Male,19,Engineering,58.32,83.28,46.99,56.57,60.84,8.81,61.41,53.53,D,17.9,Yes,Yes,None,Low,1,8.3
S3014,Emma,Brown,student2014@university.com,Female,24,Mathematics,57.39,66,86.38,79.69,78.96,4.09,59.67,78.18,C,9.9,Yes,Yes,Bachelor's,Medium,10,4.9
S3015,Liam,Jones,student2015@university.com,Male,18,Mathematics,65.75,87.59,62.09,79.11,75.28,2.38,84.75,54.98,C,11.5,Yes,Yes,,Medium,8,8.3
S3016,Ali,Jones,student2016@university.com,Male,18,CS,79.63,79.7,91.92,90,67.5,2.57,98.24,58.84,B,6.2,No,Yes,Bachelor's,Medium,3,6.6
S3017,Sara,Smith,student2017@university.com,Male,22,CS,67.92,64.63,44.45,60.06,54.44,7.66,59.15,53.12,F,10.6,No,Yes,Bachelor's,Medium,8,7.1
S3018,Ali,Williams,student2018@university.com,Male,20,CS,51.03,70.24,62.48,64.54,61.69,9.29,55.77,95.08,C,25.4,No,Yes,None,High,5,8.8
S3019,Maria,Johnson,student2019@university.com,Male,21,Business,54.85,98.03,60.13,54.86,59.21,0.72,69.35,52.41,F,23.9,No,Yes,Master's,Low,3,6.1
S3020,Omar,Smith,student2020@university.com,Male,19,Business,64.53,79.7,99.59,64.77,87.28,0.15,69.69,75.82,B,7,Yes,Yes,None,Medium,6,7.3
S3021,John,Williams,student2021@university.com,Female,22,Engineering,82.99,94.3,99.13,71.41,89,8.23,90.31,61.25,C,17,No,Yes,,Medium,2,6.6
S3022,Sara,Brown,student2022@university.com,Male,19,CS,54.93,50.73,51.39,98.2,88.85,3.87,73.44,69.18,C,12.5,No,Yes,High School,Low,1,8.7
S3023,Ali,Jones,student2023@university.com,Male,18,CS,78.03,68.99,77.8,82.65,98.45,2.76,53.12,74.68,B,21.2,Yes,Yes,High School,Low,9,6.4
S3024,Ahmed,Davis,student2024@university.com,Male,23,Engineering,55.99,94.52,72.13,89.14,94.21,1.88,96.03,72.5,D,29,No,Yes,,Medium,3,5.3
S3025,Sara,Johnson,student2025@university.com,Female,23,Engineering,60.58,59.36,49.26,66.28,74.89,3.46,68.66,87.4,D,20.8,No,No,,High,7,6.4
S3026,Omar,Davis,student2026@university.com,Female,21,Business,58.61,98.06,50.07,57.23,70.75,9.71,83.43,95.59,C,23.6,No,Yes,PhD,Medium,9,8.6
S3027,Liam,Jones,student2027@university.com,Male,19,Engineering,53.36,45.82,99.36,62.84,95.79,9.77,83.37,65.01,D,15,No,Yes,Bachelor's,Medium,4,6.5
S3028,Sara,Davis,student2028@university.com,Female,22,CS,83.57,94.16,67.16,62.82,80.56,3.32,52.82,51.23,C,5.8,No,Yes,PhD,Medium,9,4.7
S3029,Liam,Brown,student2029@university.com,Male,21,CS,,66.71,47.55,79.16,64.72,9.64,50.18,94.7,F,15.5,Yes,Yes,PhD,High,4,6.7
S3030,Omar,Williams,student2030@university.com,Female,24,CS,91.55,44.42,52.89,,78.22,3,54.4,98.94,A,17.8,No,Yes,None,Low,2,5.9
S3031,Ali,Brown,student2031@university.com,Male,24,CS,54.94,92.77,56.1,92.87,99.61,8.54,97.83,71.67,F,17.3,No,Yes,None,Medium,6,7.2
S3032,Omar,Davis,student2032@university.com,Female,20,CS,57.24,55.12,70.66,99.43,92.47,2.12,89.7,72.79,D,10.8,Yes,Yes,,Medium,9,5.2
S3033,Sara,Brown,student2033@university.com,Female,23,CS,65.32,41.34,60.13,67.16,64.06,8.26,56.6,57.21,C,16.9,No,Yes,High School,Medium,3,5.6
S3034,Ahmed,Jones,student2034@university.com,Female,22,CS,88.29,48.15,67.3,85.25,97.65,3.54,80.74,73.78,A,22.9,No,Yes,Master's,Low,2,6.6
S3035,Emma,Johnson,student2035@university.com,Male,19,CS,65.29,79.55,49.99,82.87,99.07,1.96,80.6,65.17,A,12.8,No,Yes,Bachelor's,High,5,4.6
S3036,Sara,Brown,student2036@university.com,Male,21,Business,70.42,98.67,59.6,59.72,61.56,9.35,50.03,99.72,C,20.9,No,Yes,High School,Low,7,5.1
S3037,Omar,Jones,student2037@university.com,Male,22,CS,65.08,46.69,44.22,95.9,94.78,2.14,71.45,59.24,C,8.8,No,Yes,None,Low,6,8
S3038,Emma,Johnson,student2038@university.com,Female,21,Engineering,54.01,67.72,93.38,,94.16,9.92,85.59,68.93,D,12,Yes,Yes,PhD,Low,4,8.7
S3039,Omar,Williams,student2039@university.com,Female,21,Business,,50.84,51.93,86.85,51.99,1.09,59.34,80.83,A,27.1,Yes,Yes,None,Medium,9,8.8
S3040,Ahmed,Davis,student2040@university.com,Male,21,Engineering,77.43,84.7,85.41,67.38,83.48,0.1,92.55,67.26,A,20.7,No,Yes,,Medium,1,8.7
S3041,Omar,Williams,student2041@university.com,Female,19,Mathematics,89.39,47.08,60.97,68.35,65.26,8.71,83.02,73.72,A,7.1,Yes,No,PhD,Low,10,8.7
S3042,Ali,Smith,student2042@university.com,Male,22,CS,82.92,54.39,68.46,72.77,83.73,5.87,50.35,98.67,F,11.6,No,Yes,Master's,Low,1,8.1
S3043,John,Jones,student2043@university.com,Male,18,Business,,51.78,57.48,93.23,95.68,4.22,92.75,75.4,B,29.8,No,Yes,PhD,Low,7,7.7
S3044,Liam,Johnson,student2044@university.com,Male,18,Mathematics,54.48,73.15,81.79,57.01,74.94,0.82,50.97,95.52,C,11.8,No,Yes,,Medium,5,5.2
S3045,Liam,Brown,student2045@university.com,Male,19,Business,82.14,92.39,90.67,52.73,70.72,5.75,94.4,52.15,D,19.5,No,Yes,High School,High,4,6.2
S3046,Sara,Williams,student2046@university.com,Female,24,CS,57.77,70.67,57.18,,96.08,3.94,66.69,55.99,D,18.8,No,Yes,None,Low,5,6
S3047,John,Johnson,student2047@university.com,Female,19,CS,70.72,43.49,54.53,52.78,98.71,4.84,84.93,97.23,D,15.1,No,Yes,Bachelor's,Medium,3,7.7
