Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S4001,Sara,Davis,student3001@university.com,Male,20,Engineering,58.23,49.84,61.07,72.69,61,9.5,89.63,53.66,C,14.9,No,Yes,Bachelor's,Low,9,8.9
S4002,Emma,Smith,student3002@university.com,Female,24,Engineering,75.15,80.13,72.25,91.35,50.46,5.53,75.18,70.14,B,13.7,No,No,Master's,Medium,1,7.2
S4003,Maria,Brown,student3003@university.com,Male,18,CS,74.73,81.05,84.94,71.88,84.03,9.29,83.05,86.64,C,17.8,No,Yes,None,Medium,5,5.4
S4004,Ahmed,Smith,student3004@university.com,Male,19,CS,58.75,57.22,46.75,60.85,55.74,6.89,88.63,74.87,D,17.4,No,Yes,None,Low,5,5
S4005,Ahmed,Jones,student3005@university.com,Female,19,CS,86.66,41.65,87.47,58.55,62.32,9.26,74.17,81.37,B,13.9,No,Yes,None,Medium,8,5.5
S4006,Sara,Smith,student3006@university.com,Female,18,CS,,51.99,41.58,87.2,65.28,3.18,95.3,92.17,A,25.1,No,Yes,High School,Low,5,7.8
S4007,Ali,Brown,student3007@university.com,Male,21,Business,59.32,63.99,66.59,78.74,87.34,0.91,71.85,52.02,D,6.3,No,Yes,None,High,8,7.3
S4008,Maria,Davis,student3008@university.com,Male,24,CS,66.6,50.05,75.25,70.23,81.29,8.02,94.6,96.19,B,7.9,Yes,Yes,High School,Low,1,5.1
S4009,Ahmed,Williams,student3009@university.com,Female,24,Business,78.18,51.64,97.42,74.61,59.21,8.04,79.14,66.54,C,7.1,No,Yes,,Low,10,8.3
S4010,Sara,Johnson,student3010@university.com,Male,24,Mathematics,86.32,63.48,74.44,77.48,79.89,6.19,71.31,52.34,A,19.1,Yes,Yes,High School,Low,3,8.9
S4011,Liam,Smith,student3011@university.com,Male,23,Mathematics,74.09,97.71,49.52,,85.41,5.8,50.2,91.77,C,15.3,Yes,Yes,Master's,High,7,7.8
S4012,Ahmed,Johnson,student3012@university.com,Male,23,Mathematics,76.28,85.85,71.05,68.91,69.44,9.15,64.78,96.71,A,16.3,No,Yes,High School,Medium,6,4.3
S4013,Omar,Jones,student3013@university.com,Female,23,CS,,59.18,63.75,64.62,62.3,1.76,93.4,88.43,F,19.4,No,Yes,Master's,Medium,5,7.1
S4014,Maria,Williams,student3014@university.com,Male,23,Engineering,95.73,97.1,68.76,69.42,83.95,6.17,71.44,90.23,B,13.1,No,Yes,Master's,Low,7,8.7
S4015,Maria,Williams,student3015@university.com,Male,23,CS,96.44,78.74,51.83,75.03,80.54,0.5,71.07,93.57,A,9.6,No,Yes,,Low,5,5.6
S4016,Omar,Smith,student3016@university.com,Female,18,Business,84.17,67.33,70.05,58.67,53.9,1.41,74.47,76.12,A,12.7,No,Yes,Master's,Medium,7,6.9
S4017,John,Davis,student3017@university.com,Female,19,Business,50.88,68.1,49,69.68,83.33,4.37,64.32,84.02,C,29.8,Yes,Yes,None,Low,10,5.1
S4018,Liam,Williams,student3018@university.com,Female,21,Business,76.85,64.64,84.64,69.27,74.43,8.21,74.58,64.32,C,28.8,No,Yes,Master's,High,3,8.4
S4019,Omar,Smith,student3019@university.com,Male,20,Engineering,81.46,53.98,75.63,64.3,87.67,7.33,68.79,62.49,B,28.9,No,Yes,PhD,Medium,6,8.3
S4020,Emma,Smith,student3020@university.com,Female,23,Business,99.73,63.2,44.71,99.92,59.54,9.74,95.47,80.45,B,5.7,No,Yes,Bachelor's,Low,2,5.8
S4021,Emma,Johnson,student3021@university.com,Male,18,CS,99.8,71.67,93.38,53.68,62.91,0.45,78.2,86.73,A,7.2,Yes,Yes,,Low,1,5.7
S4022,Sara,Williams,student3022@university.com,Female,24,CS,92.88,71.68,76.98,82.15,77.17,3.81,91.71,69.86,A,6.1,Yes,Yes,None,Low,2,4
S4023,Maria,Smith,student3023@university.com,Male,21,Business,53.19,85.7,58.97,58.72,74.09,1.59,84.34,70.01,D,25.4,No,Yes,Master's,Low,4,5.6
S4024,John,Johnson,student3024@university.com,Female,21,Engineering,,61.53,42.74,91.98,69.32,0.37,60.63,97.71,A,29.8,No,Yes,High School,Low,10,7.9
S4025,John,Brown,student3025@university.com,Male,21,Mathematics,80.63,83.01,77.93,95.71,87.3,2.64,93.38,75.92,F,18.6,No,Yes,None,Low,6,4.1
S4026,Ahmed,Johnson,student3026@university.com,Male,18,CS,90.04,74.69,62.41,70.07,78.24,2.44,54.36,99.31,A,22.5,Yes,Yes,Bachelor's,High,5,5
S4027,Ahmed,Johnson,student3027@university.com,Female,20,Business,70.36,97.71,94.46,91.17,85.51,4.2,72.43,93.14,D,13.8,Yes,No,High School,Low,8,7.7
S4028,Omar,Smith,student3028@university.com,Female,23,Engineering,65.98,63.12,42.09,62.5,57.66,1.4,61.96,81.98,D,24.1,No,No,High School,High,2,7.2
S4029,John,Jones,student3029@university.com,Male,21,Business,,94.07,42.35,57,86.45,4.89,76.88,50.46,F,21.4,Yes,Yes,Master's,Medium,3,8.9
S4030,Omar,Jones,student3030@university.com,Female,18,Business,57.34,89.24,96.96,65.79,73.08,9.2,65,64.8,C,25,No,No,Bachelor's,High,2,6
S4031,Liam,Davis,student3031@university.com,Male,24,Mathematics,67.85,78.26,97.89,67.08,51.69,7.48,86.14,70.88,A,17.5,No,Yes,Bachelor's,Medium,10,4.7
S4032,Omar,Jones,student3032@university.com,Female,19,CS,92.88,79.27,41.66,69.87,61.72,8.42,96.85,82.64,B,9.9,Yes,Yes,High School,Low,2,7.3
S4033,Ahmed,Johnson,student3033@university.com,Female,24,Mathematics,51.9,45.08,82.96,,51.29,8.05,85.45,69.78,C,16.9,No,Yes,Bachelor's,High,4,4.4
S4034,Maria,Davis,student3034@university.com,Male,18,CS,57.54,97.01,53.29,70.56,72.84,3.9,67.77,91.39,F,12.8,Yes,Yes,,Low,2,4.6
S4035,Omar,Smith,student3035@university.com,Female,18,CS,56.26,46.42,82.08,85.5,66.29,7.09,80,83.15,D,22.4,No,Yes,Master's,Low,2,6.8
S4036,Ali,Williams,student3036@university.com,Female,18,Engineering,70.15,73.79,92.12,62.28,99.37,7.54,94.43,67.36,D,8.4,Yes,Yes,Master's,High,3,6.4
S4037,Maria,Johnson,student3037@university.com,Male,21,Business,99.85,59.8,46.05,50.93,93.43,2.06,63.5,89.22,B,13.3,No,Yes,PhD,Low,1,5.3
S4038,John,Johnson,student3038@university.com,Male,18,Engineering,58.67,65.79,54.33,74.48,91.28,8.6,55.91,65.15,F,5.2,No,Yes,PhD,Medium,5,6.4
S4039,John,Davis,student3039@university.com,Female,19,Business,57.27,76.61,41.44,72.41,75.06,4.58,56.54,53.14,F,25.4,No,Yes,Bachelor's,High,4,8.3
S4040,Omar,Smith,student3040@university.com,Male,21,Business,95.75,94.53,42.63,,90.35,0.16,74.74,58.63,A,15.2,No,Yes,,Medium,1,7.6
S4041,Maria,Brown,student3041@university.com,Female,24,CS,94.1,67.45,41.78,,63.34,6.43,86.61,50.14,A,24.4,Yes,No,Bachelor's,Medium,6,6.3
S4042,Ahmed,Johnson,student3042@university.com,Female,19,Mathematics,51.61,99.26,88.04,75.5,78.03,6.77,82.86,91.62,C,7.4,Yes,Yes,PhD,Medium,7,5.6
