Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Performance
S5000,Maria,Davis,student4000@university.com,Male,19,CS,82.58,75.64,73.37,70.07,71.29,7.83,89.44,93.07,B,24.4,No,No,,Low,10,6.9,Average Performer
S5001,Omar,Brown,student4001@university.com,Male,24,CS,,98.53,78.88,69.06,53.08,0.81,70.37,99.63,B,10.5,No,Yes,Bachelor's,High,4,6.8,Average Performer
S5002,John,Jones,student4002@university.com,Female,20,CS,61.4,68.66,72.76,96.47,73.07,7.14,53.52,86.57,B,10.3,No,Yes,Bachelor's,Low,3,7.5,Average Performer
S5003,Omar,Smith,student4003@university.com,Female,19,CS,53.5,86.48,71.23,,56.88,1.65,85.63,57.3,B,20.2,Yes,Yes,Master's,Low,2,5.1,Average Performer
S5004,Maria,Smith,student4004@university.com,Male,24,Business,76.78,86.09,76.38,,82.37,7.4,57.53,63.89,B,15.9,No,Yes,,Low,5,7.5,Average Performer
S5005,Emma,Jones,student4005@university.com,Female,18,Business,99.52,69.85,81.51,87.89,52.36,1.41,96.35,56.6,A,26.8,Yes,Yes,PhD,Medium,2,4.1,High Performer
S5006,Liam,Williams,student4006@university.com,Female,24,CS,86.9,87.74,73.93,,68.7,8.32,70.89,55.78,B,12.3,No,Yes,PhD,Low,2,6.7,Average Performer
S5007,Sara,Johnson,student4007@university.com,Female,21,Engineering,66.37,55.66,57.22,57.96,54.14,6.81,54.1,78.39,D,13.3,No,Yes,,Low,8,8.2,Needs Improvement
S5008,Liam,Williams,student4008@university.com,Male,22,Mathematics,91.36,47.34,63.23,65.96,50.17,3.86,61.42,95.34,C,9.2,Yes,Yes,High School,Medium,2,7.6,Average Performer
S5009,Liam,Smith,student4009@university.com,Male,24,Engineering,88.45,65.51,81.03,,98.03,3.59,93.13,84.22,A,29.5,No,Yes,High School,High,8,8.3,High Performer
S5010,Emma,Davis,student4010@university.com,Female,21,CS,64.08,96.62,78.26,50.91,99.81,1.49,66.05,90.03,B,7.9,No,No,High School,Low,8,4.7,Average Performer
S5011,Omar,Jones,student4011@university.com,Male,21,Engineering,50.72,70.04,61.55,71.87,77.78,9.04,92.82,75.4,C,29.6,No,Yes,High School,Low,1,7.6,Average Performer
S5012,Sara,Jones,student4012@university.com,Female,21,CS,55.91,78.12,68.01,87.79,61.95,1.19,58.61,73.77,C,22.7,Yes,Yes,Master's,Medium,5,6.3,Average Performer
S5013,Ali,Williams,student4013@university.com,Female,24,Engineering,93.87,77.45,81.84,58.21,95.55,4.72,73.41,96.87,A,7.2,No,Yes,,Medium,9,5.6,High Performer
S5014,Ahmed,Davis,student4014@university.com,Male,19,Engineering,91.83,47.95,69.16,53.23,96.15,2.37,93.91,86.1,C,8.8,No,Yes,,High,8,5.8,Average Performer
S5015,Emma,Williams,student4015@university.com,Male,19,CS,64.76,63.42,72.16,91.8,92.73,9.96,52.42,72.97,B,13.2,Yes,Yes,Master's,Medium,10,4.5,Average Performer
S5016,Maria,Johnson,student4016@university.com,Male,22,Mathematics,64.26,82.42,73.23,,77.22,5.86,65.21,66.63,B,11.5,Yes,Yes,PhD,Medium,9,7.5,Average Performer
S5017,Ali,Brown,student4017@university.com,Female,19,Engineering,89.64,98.32,83.22,58.83,53.74,1.5,95.49,54.66,A,29.3,No,Yes,Master's,Medium,3,7.2,High Performer
S5018,Ahmed,Davis,student4018@university.com,Female,23,Engineering,96.89,50.08,71.27,90.32,54.42,6.68,79.83,91.05,B,20.3,Yes,Yes,High School,Medium,2,4.8,Average Performer
S5019,Maria,Brown,student4019@university.com,Male,19,Mathematics,88.96,64.63,79.85,82.91,94.83,9.92,85.81,58.47,B,6.9,No,Yes,,High,1,6.7,Average Performer
S5020,Liam,Johnson,student4020@university.com,Male,19,CS,80.28,45.71,74.0,66.71,93.79,6.05,92.11,75.75,B,18.1,No,Yes,Master's,Low,8,4.6,Average Performer
S5021,John,Brown,student4021@university.com,Male,19,CS,62.13,54.54,57.98,68.81,71.72,4.57,76.18,81.86,D,27.4,Yes,Yes,High School,Low,8,5.6,Needs Improvement
S5022,Maria,Smith,student4022@university.com,Female,18,Business,76.29,62.61,60.76,57.79,66.41,2.93,92.27,87.2,C,15.4,No,Yes,High School,Low,8,4.2,Average Performer
S5023,Sara,Brown,student4023@university.com,Female,22,CS,61.68,72.44,76.89,91.76,82.21,0.92,81.94,54.17,B,21.7,No,Yes,Bachelor's,High,3,7.1,Average Performer
S5024,Sara,Johnson,student4024@university.com,Female,23,Business,90.4,53.83,72.57,75.45,90.35,2.28,84.28,50.53,B,24.3,Yes,Yes,PhD,Medium,1,4.1,Average Performer
S5025,John,Brown,student4025@university.com,Male,19,CS,69.35,53.65,67.18,77.85,86.58,5.54,57.64,85.3,C,9.6,No,Yes,PhD,Low,9,5.3,Average Performer
