Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Performance
S2000,Emma,Johnson,student1000@university.com,Female,22,Business,98.58,61.05,79.94,80.29,58.26,5.24,64.42,70.3,B,29.6,No,No,,High,9,6.9,Average Performer
S2001,Omar,Davis,student1001@university.com,Female,18,Engineering,,86.13,84.86,75.12,94.66,1.38,56.4,82.78,A,23.7,No,Yes,High School,Low,6,8.4,High Performer
S2002,Ali,Williams,student1002@university.com,Female,18,CS,,91.8,80.73,76.4,69.5,2.86,59.52,87.74,A,28.8,Yes,Yes,High School,Low,3,7.2,High Performer
S2003,Ali,Johnson,student1003@university.com,Male,23,CS,89.91,61.89,72.84,61.6,92.19,5.23,50.03,78.13,B,26.2,Yes,Yes,PhD,Medium,6,6.6,Average Performer
S2004,Ali,Smith,student1004@university.com,Female,20,Engineering,76.28,71.54,76.32,,75.63,9.96,93.47,82.12,B,26.9,No,Yes,PhD,Low,9,6.5,Average Performer
S2005,Ahmed,Jones,student1005@university.com,Male,18,CS,,47.04,66.99,63.32,93.11,3.64,88.25,60.68,C,27.9,No,Yes,,Low,1,7.1,Average Performer
S2006,Maria,Brown,student1006@university.com,Male,19,Engineering,79.14,65.01,75.55,69.47,83.14,1.57,60.93,79.63,B,18.3,No,Yes,,High,1,6.6,Average Performer
S2007,Ahmed,Davis,student1007@university.com,Female,24,Mathematics,80.59,61.65,72.67,68.45,75.44,4.97,50.12,73.02,B,22.8,No,Yes,PhD,High,8,5.4,Average Performer
S2008,Maria,Jones,student1008@university.com,Male,23,CS,86.44,50.99,73.49,83.6,65.63,3.1,74.61,71.4,B,8.1,No,Yes,,High,7,8.8,Average Performer
S2009,Liam,Williams,student1009@university.com,Female,23,CS,88.06,93.67,83.27,54.51,98.45,5.66,70.63,70.52,A,13.9,No,Yes,PhD,Low,1,8.8,High Performer
S2010,Ahmed,Davis,student1010@university.com,Male,18,Engineering,88.54,48.89,73.19,60.28,90.04,4.67,88.8,65.55,B,27.0,No,Yes,,Low,8,4.8,Average Performer
S2011,Ahmed,Brown,student1011@university.com,Female,24,Mathematics,83.17,78.14,75.26,60.02,69.06,6.89,70.14,65.27,B,29.4,No,Yes,Master's,Medium,5,6.7,Average Performer
S2012,Emma,Brown,student1012@university.com,Male,23,Business,60.79,93.41,76.99,55.42,58.34,9.14,93.21,84.99,B,7.8,Yes,Yes,High School,Low,9,7.9,Average Performer
S2013,John,Smith,student1013@university.com,Male,21,Business,70.21,94.72,77.57,60.38,88.98,2.01,54.79,77.89,B,19.7,No,Yes,,Low,3,4.3,Average Performer
S2014,Ahmed,Williams,student1014@university.com,Female,20,CS,88.81,87.59,93.5,80.35,99.5,8.21,68.29,51.5,A+,23.4,No,Yes,PhD,Medium,5,4.6,High Performer
S2015,Emma,Davis,student1015@university.com,Male,21,Mathematics,,50.57,67.93,86.61,63.95,9.49,96.7,52.43,C,17.9,Yes,Yes,Master's,Medium,7,6.7,Average Performer
S2016,Sara,Davis,student1016@university.com,Female,22,CS,53.95,89.05,76.37,83.02,95.79,3.74,50.59,78.51,B,10.8,No,Yes,Master's,Medium,10,4.1,Average Performer
S2017,John,Johnson,student1017@university.com,Male,21,CS,76.78,56.59,64.58,73.76,56.27,1.14,69.54,92.31,C,6.0,No,Yes,,Low,8,8.2,Average Performer
S2018,Liam,Smith,student1018@university.com,Male,24,Business,65.63,95.34,77.26,52.62,97.61,8.22,62.99,52.2,B,28.8,No,Yes,,Medium,3,8.4,Average Performer
S2019,Ahmed,Smith,student1019@university.com,Male,19,Mathematics,61.27,82.55,81.23,97.95,87.27,7.01,76.59,75.36,A,10.9,Yes,No,Bachelor's,Medium,1,7.7,High Performer
S2020,Omar,Davis,student1020@university.com,Female,23,CS,75.29,87.12,76.43,58.4,67.33,2.13,63.94,92.56,B,12.5,Yes,Yes,PhD,Low,6,8.1,Average Performer
S2021,Ali,Davis,student1021@university.com,Female,24,CS,80.3,45.1,64.62,83.42,65.23,4.45,93.5,50.22,C,21.1,Yes,Yes,Bachelor's,Medium,5,7.4,Average Performer
S2022,Sara,Jones,student1022@university.com,Female,23,CS,,74.97,80.34,95.64,82.17,5.78,96.86,63.79,A,15.7,No,Yes,,Medium,5,4.7,High Performer
S2023,Sara,Jones,student1023@university.com,Female,19,CS,89.01,89.27,93.3,84.89,79.68,1.7,92.46,96.0,A+,15.6,Yes,Yes,Bachelor's,Low,6,4.1,High Performer
S2024,Liam,Jones,student1024@university.com,Female,23,CS,90.99,91.7,91.15,60.9,95.95,7.15,69.93,54.07,A+,7.1,No,No,,Medium,3,8.2,High Performer
S2025,Emma,Smith,student1025@university.com,Male,21,Mathematics,98.28,41.72,71.8,65.79,88.31,6.9,99.5,80.35,B,29.8,Yes,No,Master's,Low,5,7.5,Average Performer
S2026,Sara,Johnson,student1026@university.com,Male,22,Engineering,59.03,96.35,78.06,,77.02,8.87,86.75,75.37,B,12.1,No,Yes,High School,High,10,6.0,Average Performer
S2027,John,Brown,student1027@university.com,Female,18,Business,79.73,42.6,69.77,80.64,96.38,5.67,67.78,57.58,C,7.8,Yes,Yes,Master's,Medium,1,8.0,Average Performer
S2028,Ahmed,Jones,student1028@university.com,Male,19,Business,,76.87,79.54,80.65,79.64,5.74,54.68,52.12,B,22.0,No,Yes,Bachelor's,Medium,8,4.3,Average Performer
S2029,Ahmed,Johnson,student1029@university.com,Male,21,Engineering,66.74,81.6,76.64,86.28,92.48,6.19,83.35,75.13,B,23.8,No,Yes,Master's,Low,9,5.6,Average Performer
S2030,Omar,Williams,student1030@university.com,Male,24,Business,78.28,46.44,62.88,50.55,92.05,2.74,86.43,86.76,C,5.6,Yes,Yes,Bachelor's,High,4,5.7,Average Performer
